kepid,kepoi_name,koi_tce_plnt_num,koi_pdisposition,koi_score,koi_period,koi_max_mult_ev,koi_prad,koi_prad_err1,koi_prad_err2,koi_ror,koi_ror_err1,koi_ror_err2,TCE_ID
10811496,K00753.01,1,FALSE POSITIVE,0.0,19.89913995,187.4491,14.6,3.92,-1.31,0.15404600000000002,5.034292,-0.042179,010811496-01
6599919,K00858.01,1,FALSE POSITIVE,0.0,13.61014819,209.14677,19.02,4.92,-2.28,0.192842,0.311636,-0.088824,006599919-01
10149023,K01081.01,1,FALSE POSITIVE,0.0,9.95639775,28.363348,28.15,8.19,-3.26,0.244849,31.56592,-0.055758,010149023-01
5376067,K00833.01,1,FALSE POSITIVE,0.0,3.951405455,110.66481,31.44,8.94,-2.96,0.331342,5.991675,-0.199244,005376067-01
11045383,K01645.01,1,FALSE POSITIVE,0.0,41.16676097,198.55354,17.82,1.93,-2.15,0.202708,0.285367,-0.092371,011045383-01
5706595,K02183.03,3,FALSE POSITIVE,0.40399999999999997,150.381954,7.760867,2.26,0.31,-0.16,0.021711,0.004289,-0.004103,005706595-03
4263293,K01895.03,3,FALSE POSITIVE,0.243,32.134001399999995,13.92513,1.84,0.15,-0.16,0.032079,0.001732,-0.0022960000000000003,004263293-03
9729691,K01751.02,2,FALSE POSITIVE,0.0,20.99757968,27.840118,2.97,0.61,-0.43,0.030358,0.000739,-0.000808,009729691-02
9415108,K02121.01,1,FALSE POSITIVE,0.0,4.51005082,19.142262,1.74,0.24,-0.24,0.01542,0.0008,-0.0005139999999999999,009415108-01
9932970,K01587.01,1,FALSE POSITIVE,0.0,52.971584,51.077126,29.02,3.78,-2.76,0.336767,6.962433,-0.875941,009932970-01
11599038,K01437.02,2,FALSE POSITIVE,0.0,9.27989,7.6888905,1.29,0.4,-0.16,0.012195,0.000288,-0.0017219999999999998,011599038-02
11599038,K01437.03,3,FALSE POSITIVE,0.47100000000000003,17.421732199999994,7.1332707,1.42,0.45,-0.18,0.013447,0.0008119999999999999,-0.001107,011599038-03
12061969,K02061.01,1,FALSE POSITIVE,0.0,14.092583189,15.945106,1.82,0.23,-0.13,0.021681,0.0,0.0,012061969-01
10387742,K02583.02,2,FALSE POSITIVE,0.217,251.7512,7.355168300000001,1.25,0.18,-0.08,0.01244,0.002675,-0.0016710000000000002,010387742-02
10666242,K00198.01,1,FALSE POSITIVE,0.0,87.24250316,612.295,15.86,2.17,-0.73,0.152059,0.004952000000000001,-0.005236,010666242-01
11702948,K01465.01,1,FALSE POSITIVE,0.0,9.771462706,269.3825,10.15,2.52,-0.9,0.108981,0.034838,-0.016980000000000002,011702948-01
10019399,K01796.01,1,FALSE POSITIVE,0.0,11.805707539,274.67276,18.48,4.96,-9.2,0.08951100000000001,0.484878,-0.031882,010019399-01
9842890,K01479.01,1,FALSE POSITIVE,0.0,4.9883872,34.12135,2.59,0.74,-0.25,0.028768,0.000431,-0.001011,009842890-01
10019763,K01558.01,1,FALSE POSITIVE,0.0,32.50456309,165.29753,10.68,3.31,-1.18,0.103288,0.014927,-0.010183,010019763-01
11774991,K02173.02,2,FALSE POSITIVE,0.0,53.5783052,18.636635,1.16,0.09,-0.04,0.015126,0.003556,-0.001824,011774991-02
11909686,K01483.01,1,FALSE POSITIVE,0.0,185.9526325,127.23148,50.98,8.19,-5.96,0.401043,32.7557,-0.157799,011909686-01
3219643,K03072.01,1,FALSE POSITIVE,0.0,24.3367026,12.185272,1.95,0.19,-0.21,0.022134,4.3e-05,-0.002688,003219643-01
9763612,K03465.01,1,FALSE POSITIVE,0.0,16.0505464,10.279693,0.81,0.07,-0.03,0.008729,0.000546,-0.000367,009763612-01
6690171,K03320.01,1,FALSE POSITIVE,0.0,85.0624157,496.5611,21.26,3.57,-1.92,0.22247600000000006,0.003858,-0.003826,006690171-01
6025124,K03411.01,1,FALSE POSITIVE,0.0,26.83771808,231.85612000000003,12.68,4.24,-1.41,0.108646,0.13214,-0.011642,006025124-01
7813039,K03787.01,1,FALSE POSITIVE,0.0,141.73403059,109.16092,10.3,1.38,-0.74,0.102722,0.023153,-0.008581,007813039-01
6471021,K00372.01,1,FALSE POSITIVE,0.006,125.6291479,104.77356,10.02,1.47,-1.33,0.082594,7.6e-05,-0.002247,006471021-01
8326342,K02680.01,1,FALSE POSITIVE,0.0,14.4079035,99.980515,23.4,4.24,-1.84,0.294294,70.70151,-1.717744,008326342-01
5688683,K04097.02,2,FALSE POSITIVE,0.0,4.44902309,8.480367,0.55,0.05,-0.04,0.00834,0.000596,-0.000679,005688683-02
5015459,K03923.01,1,FALSE POSITIVE,0.0,158.3226379,31.495008,25.41,2.0,-2.49,0.406775,27.07998,-1.7161240000000002,005015459-01
8223655,K05488.01,1,FALSE POSITIVE,0.0,280.16049560000005,53.81772,19.25,3.54,-1.52,0.220656,6.795054,-0.100709,008223655-01
5872150,K00414.02,2,FALSE POSITIVE,0.017,5.92240377,35.46935999999999,2.77,0.86,-0.37,0.023559,0.001201,-0.004463,005872150-02
3355104,K04975.01,1,FALSE POSITIVE,0.0,47.0628978,11.769422,4.1,1.18,-0.4,0.04181,0.013511000000000002,-0.005218,003355104-01
5640085,K00448.02,2,FALSE POSITIVE,0.0,43.5859419,31.829948,2.05,0.15,-0.17,0.037463,0.001185,-0.000563,005640085-02
4902202,K04717.01,1,FALSE POSITIVE,0.405,216.456055,9.974652,3.61,0.53,-0.54,0.028585000000000006,0.001873,-0.00113,004902202-01
3854101,K05018.01,1,FALSE POSITIVE,0.0,293.5056071,49.642525,48.59,6.08,-6.09,0.442295,6.678814999999998,-0.26158000000000003,003854101-01
7838675,K04169.01,1,FALSE POSITIVE,0.0,1.005205893,13.766089,0.85,0.23,-0.08,0.009003,0.000468,-0.000455,007838675-01
9026007,K05602.01,1,FALSE POSITIVE,0.313,403.163148,8.940252000000003,2.49,0.43,-0.11,0.023645,0.001474,-0.001295,009026007-01
5449777,K00410.01,1,FALSE POSITIVE,0.0,7.216951387999999,304.36368,41.57,11.89,-6.41,0.360527,0.5278609999999999,-0.14458900000000002,005449777-01
11904151,K00072.01,2,FALSE POSITIVE,0.0,0.837491225,30.367825,1.43,0.08,-0.06,0.012545,0.00026000000000000003,-0.000149,011904151-02
8938937,K04758.01,3,FALSE POSITIVE,0.406,37.1083458,7.907230999999999,1.71,0.44,-0.14,0.018237,0.000538,-0.002509,008938937-03
7935997,K05447.02,1,FALSE POSITIVE,0.0,3.87594316,10.725665,0.68,0.09,-0.03,0.006940000000000001,0.000461,-0.000307,007935997-01
5981058,K05219.01,1,FALSE POSITIVE,0.113,27.765596,10.172146,1.2,0.16,-0.07,0.011039,0.000441,-0.000655,005981058-01
5177859,K04246.01,1,FALSE POSITIVE,0.364,6.98472143,10.99175,1.19,0.34,-0.26,0.008855,0.000432,-0.000587,005177859-01
7757698,K07848.01,1,FALSE POSITIVE,0.207,369.181947,7.4524474,2.6,0.77,-0.24,0.027739,0.002042,-0.0019760000000000003,007757698-01
5638699,K08256.01,1,FALSE POSITIVE,0.11,343.56446,7.629894,1.8,0.28,-0.34,0.012412,0.001457,-0.0006900000000000001,005638699-01
6436505,K06707.02,2,FALSE POSITIVE,0.368,24.722240300000006,8.305736999999999,1.31,0.24,-0.11,0.015413,0.001138,-0.001077,006436505-02
3218844,K07646.01,1,FALSE POSITIVE,0.147,85.112898,7.1324434000000005,2.21,0.72,-0.24,0.020725,0.001919,-0.001686,003218844-01
9710611,K07958.01,2,FALSE POSITIVE,0.18600000000000003,386.35444,7.514394800000002,1.43,0.32,-0.21,0.011133,0.000711,-0.000675,009710611-02
8742735,K08165.01,1,FALSE POSITIVE,0.0,331.92622,8.063830000000001,2.25,0.55,-0.18,0.02583,0.0017350000000000002,-0.002408,008742735-01
5871116,K08258.01,1,FALSE POSITIVE,0.272,54.432903,7.2117453,1.41,0.17,-0.16,0.015637,0.00245,-0.0010960000000000002,005871116-01
6032318,K08260.01,1,FALSE POSITIVE,0.107,235.20613,7.296207400000001,1.71,0.24,-0.13,0.022999,0.003537,-0.002421,006032318-01
6182508,K08261.01,1,FALSE POSITIVE,0.128,85.9770426,7.4072905,1.46,0.12,-0.17,0.029603,0.0026100000000000003,-0.002294,006182508-01
8808064,K08169.01,1,FALSE POSITIVE,0.153,447.97028,7.349570299999999,2.0,0.62,-0.2,0.020665,0.001334,-0.001549,008808064-01
6681618,K08265.01,1,FALSE POSITIVE,0.128,364.42189,8.149576,36.37,10.96,-3.67,0.332378,70.05804,-1.759944,006681618-01
7751294,K08269.01,1,FALSE POSITIVE,0.114,371.4589776,7.334533,2.22,0.67,-0.28,0.019702,0.0,0.0,007751294-01
6113752,K07763.01,1,FALSE POSITIVE,0.198,406.45737,8.936985,1.96,0.66,-0.26,0.015734,0.000594,-0.001169,006113752-01
12021943,K08075.01,1,FALSE POSITIVE,0.203,6.0962602,7.227147599999999,0.62,0.21,-0.06,0.005551,0.002258,-0.000544,012021943-01
8832676,K08173.01,2,FALSE POSITIVE,0.015,323.6654200000001,7.6799603,1.58,0.1,-0.12,0.031078,0.002478,-0.002083,008832676-02
8008913,K08271.01,1,FALSE POSITIVE,0.284,34.9989085,7.473953,1.65,0.17,-0.11,0.02335,0.012951,-0.00571,008008913-01
12644020,K08083.01,1,FALSE POSITIVE,0.152,234.524445,7.122703,2.33,0.28,-0.16,0.029408,0.001458,-0.005961999999999999,012644020-01
2010152,K08084.01,1,FALSE POSITIVE,0.057999999999999996,317.74527,7.386037,2.1,0.69,-0.83,0.014451,0.001372,-2.2e-05,002010152-01
9209808,K08281.01,1,FALSE POSITIVE,0.141,244.547128,7.105086,1.74,0.2,-0.14,0.0216,0.002437,-0.002281,009209808-01
10014875,K07983.01,1,FALSE POSITIVE,0.03,453.64875,7.62965,2.18,0.65,-0.22,0.021572,0.007353,-0.002151,010014875-01
9771576,K08185.01,1,FALSE POSITIVE,0.001,398.71694,11.356028,21.25,3.36,-1.82,0.252342,6.729711999999999,-0.197226,009771576-01
9239670,K08282.01,1,FALSE POSITIVE,0.11599999999999999,456.55308,7.491992,1.48,0.32,-0.39,0.010443,0.000315,-0.001605,009239670-01
10010452,K08287.01,1,FALSE POSITIVE,0.266,358.74318,7.710121000000001,2.25,0.51,-0.17,0.024907,0.001877,-0.000937,010010452-01
12403968,K07531.01,1,FALSE POSITIVE,0.0,0.589753355,7.9397616,1.03,0.17,-0.07,0.013925,0.001247,-0.002131,012403968-01
4276445,K08092.01,1,FALSE POSITIVE,0.05,405.65377,7.3351774,2.03,0.56,-0.19,0.021006,0.006808,-0.000452,004276445-01
4371172,K08093.01,1,FALSE POSITIVE,0.0,73.992267,8.607452,2.86,1.38,-1.68,0.013831,0.001979,-0.001372,004371172-01
4557341,K08094.01,1,FALSE POSITIVE,0.005,361.901618,7.1529336,0.95,0.11,-0.08,0.012107,0.000752,-0.001379,004557341-01
4645492,K08095.01,1,FALSE POSITIVE,0.3,508.04103,8.32845,1.89,0.18,-0.07,0.017893,0.001005,-0.0015,004645492-01
4763020,K08097.01,1,FALSE POSITIVE,0.017,384.09781,7.1536813,1.63,0.34,-0.51,0.009146,0.000489,-0.000959,004763020-01
10585887,K08293.01,1,FALSE POSITIVE,0.19,378.65484,7.1533694,1.53,0.49,-0.19,0.014468,0.004268999999999999,-0.000298,010585887-01
10205598,K08198.01,3,FALSE POSITIVE,0.008,373.89398,8.046221000000001,2.51,0.27,-0.24,0.032878,0.039922000000000006,-0.009555,010205598-03
12117215,K08296.01,1,FALSE POSITIVE,0.11599999999999999,272.54288087,7.5996466,2.35,0.61,-0.2,0.025994,0.0,0.0,012117215-01
10338529,K08002.01,1,FALSE POSITIVE,0.087,366.74866,7.171099000000001,2.35,0.75,-0.38,0.019807,0.000927,-0.001857,010338529-01
5775090,K08105.01,1,FALSE POSITIVE,0.021,432.96732,7.308936599999999,1.64,0.17,-0.13,0.026088,0.002577,-0.001594,005775090-01
5872139,K08110.01,1,FALSE POSITIVE,0.043,375.17737,7.5423399999999985,3.64,1.15,-0.38,0.032567,0.0032990000000000003,-0.000266,005872139-01
6768616,K06765.02,2,FALSE POSITIVE,0.294,8.8249556,8.0962,1.1,0.33,-0.14,0.010131,0.000595,-0.000982,006768616-02
4472143,K07696.01,1,FALSE POSITIVE,0.044000000000000004,472.071079,7.266772,2.01,0.17,-0.08,0.014666,0.00312,-0.005345,004472143-01
8750503,K07910.01,1,FALSE POSITIVE,0.07400000000000001,11.9283194,7.4145985,0.98,0.1,-0.1,0.01201,0.000724,-0.000911,008750503-01
11124353,K08220.01,2,FALSE POSITIVE,0.163,423.73074,7.6106862999999985,2.48,0.81,-0.29,0.026643,0.002291,-0.001284,011124353-02
9119458,K00525.01,1,FALSE POSITIVE,0.0,11.53029332,38.911926,3.98,1.1,-0.89,0.031664,0.000936,-0.000431,009119458-01
11601357,K07459.01,1,FALSE POSITIVE,0.402,3.55027051,7.364884,1.15,0.24,-0.1,0.013194999999999998,0.001395,-0.001102,011601357-01
5009688,K07713.01,1,FALSE POSITIVE,0.198,1.381257093,7.817109599999998,1.1,0.33,-0.15,0.008874,0.000609,-0.000624,005009688-01
6600492,K08125.01,1,FALSE POSITIVE,0.027000000000000003,312.61007,10.018782,2.01,0.48,-0.19,0.019933000000000003,0.000414,-0.001847,006600492-01
11760931,K08229.01,1,FALSE POSITIVE,0.096,397.72733,7.423948299999998,1.48,0.46,-0.15,0.01394,0.000944,-0.001177,011760931-01
9347066,K07933.01,1,FALSE POSITIVE,0.0,20.004714,7.5677705,0.89,0.15,-0.07,0.009662,0.001244,-0.001156,009347066-01
12121118,K08235.01,1,FALSE POSITIVE,0.005,495.06538,7.30823,2.0,0.62,-0.21,0.018892,0.0005549999999999999,-0.001452,012121118-01
6381846,K00509.03,3,FALSE POSITIVE,0.0,39.6034,13.178303,2.22,0.27,-0.18,0.021546,0.000802,-0.00073,006381846-03
7762886,K08144.01,2,FALSE POSITIVE,0.071,315.81065,8.383834,1.82,0.11,-0.19,0.020529,0.0013050000000000002,-0.001518,007762886-02
7811537,K08145.01,2,FALSE POSITIVE,0.20199999999999999,16.9341628,7.2309199999999985,1.71,0.57,-0.18,0.01395,0.000762,-0.002486,007811537-02
11854636,K07484.01,1,FALSE POSITIVE,0.235,37.0200232,7.907945,2.14,0.57,-0.19,0.022145,0.004404,-0.005351,011854636-01
7664272,K07845.01,1,FALSE POSITIVE,0.146,341.01495,7.394858,1.72,0.3,-0.21,0.017606,0.0026,-0.002253,007664272-01
11348086,K08049.01,1,FALSE POSITIVE,0.17600000000000002,391.420272,8.236689,1.61,0.33,-0.17,0.015559,0.004229999999999999,-0.001663,011348086-01
7900114,K08148.01,1,FALSE POSITIVE,0.09699999999999999,303.91225,9.752224,1.97,0.42,-0.18,0.020355,0.000388,-0.001843,007900114-01
